Questions; Type; Answer
Who is the author of "To Kill a Mockingbird"?; SS; Harper Lee
When was the Eiffel Tower built?; SS; 1889
What is the capital city of Australia?; SS; Canberra
Who won the Academy Award for Best Picture in 2020?; SS; Parasite
What is the chemical formula of water?; SS; H2O
What is the daytime temperature of NYC, LA, and Champaign IL?; SM;
When did Albert Einstein, Marie Curie, and Werner Heisenburg each get their nobel price?; SM; 
What are the heights of the Eiffel Tower, the Empire State Building, and the Burj Khalifa?; SM;
When were the movies "Inception", "Titanic", and "The Godfather" each released?; SM;
What are the official languages of Belgium, Singapore, and South Africa?; SM;
